 ListingID,Link,lat,lng,Bedrooms,Star Rating,Reviews,Price,Occupancy,Revenue,Active Nights,Min Stay,Dynamic Pricing,id
46854418,[ABnB](https://www.airbnb.com/rooms/46854418),16.76958,-99.78653,1,-NA,0,4004,4,53187,14,5,None,48
47057672,[ABnB](https://www.airbnb.com/rooms/47057672),16.76135,-99.77622,1,4.96,55,1314,69,269270,207,3,High,49
48634835,[ABnB](https://www.airbnb.com/rooms/48634835),16.76095,-99.77613,1,4.5,1,1745,2,13800,7,2,None,50
24915520,[ABnB](https://www.airbnb.com/rooms/24915520),16.76971,-99.78717,1,4.0,3,3491,30,317851,88,3,Low,51
612998,[ABnB](https://www.airbnb.com/rooms/612998),16.76039,-99.77616,1,4.56,27,1766,57,60046,34,3,None,52
33213777,[ABnB](https://www.airbnb.com/rooms/33213777),16.75966,-99.77691,1,4.74,48,2341,56,451982,204,2,Moderate,53
38662759,[ABnB](https://www.airbnb.com/rooms/38662759),16.75944,-99.77744,1,4.73,86,1006,87,315653,317,2,None,54
33826588,[ABnB](https://www.airbnb.com/rooms/33826588),16.75983,-99.77607,1,4.4,6,1191,43,62379,93,2,Low,55
25008856,[ABnB](https://www.airbnb.com/rooms/25008856),16.76969,-99.78827,1,4.5,1,2998,0,0,0,3,None,56
21136965,[ABnB](https://www.airbnb.com/rooms/21136965),16.7713,-99.78812,1,5.0,3,4784,30,573994,111,3,None,57
25034910,[ABnB](https://www.airbnb.com/rooms/25034910),16.77204,-99.78844,1,5.0,11,3491,16,172541,49,3,Low,58
36378905,[ABnB](https://www.airbnb.com/rooms/36378905),16.76977,-99.79062,1,-Unknown,1,4086,1,15299,5,7,None,59
19440779,[ABnB](https://www.airbnb.com/rooms/19440779),16.77254,-99.79005,1,4.5,3,2792,44,463613,162,3,None,60
41624236,[ABnB](https://www.airbnb.com/rooms/41624236),16.77329,-99.79109,1,-NA,0,4990,0,0,0,7,None,61
5231215,[ABnB](https://www.airbnb.com/rooms/5231215),16.77682,-99.78826,1,4.0,3,2115,1,6633,3,2,None,62
8616912,[ABnB](https://www.airbnb.com/rooms/8616912),16.77393,-99.7916,1,4.67,165,2361,76,649235,276,2,Low,63
27247999,[ABnB](https://www.airbnb.com/rooms/27247999),16.77336,-99.76669,1,-Unknown,2,1499,13,34493,47,2,None,64
42037969,[ABnB](https://www.airbnb.com/rooms/42037969),16.76764,-99.77976,2,4.8,56,2977,86,954921,315,2,Low,65
49383308,[ABnB](https://www.airbnb.com/rooms/49383308),16.767641,-99.779823,2,5.0,14,3183,59,421027,134,2,None,66
49117608,[ABnB](https://www.airbnb.com/rooms/49117608),16.76779,-99.77938,2,5.0,13,3491,62,511311,141,2,Low,67
50243393,[ABnB](https://www.airbnb.com/rooms/50243393),16.76787,-99.779732,2,-NA,0,1006,0,1006,1,1,None,68
45670912,[ABnB](https://www.airbnb.com/rooms/45670912),16.76718,-99.77938,2,-NA,0,4291,58,1035869,211,2,Low,69
35681272,[ABnB](https://www.airbnb.com/rooms/35681272),16.76751,-99.77913,2,-NA,0,7803,46,1417781,167,7,None,70
40681903,[ABnB](https://www.airbnb.com/rooms/40681903),16.76724,-99.77916,2,4.9,20,3449,36,511903,132,2,Low,71
47583983,[ABnB](https://www.airbnb.com/rooms/47583983),16.76791,-99.77913,2,4.93,14,3778,60,703960,181,2,Moderate,72
50902412,[ABnB](https://www.airbnb.com/rooms/50902412),16.76805,-99.77927,2,3.5,1,3778,8,40476,10,2,None,73
50009819,[ABnB](https://www.airbnb.com/rooms/50009819),16.76795,-99.77911,2,5.0,3,4682,30,248674,52,2,Moderate,74
29159089,[ABnB](https://www.airbnb.com/rooms/29159089),16.76742,-99.78034,2,-Unknown,2,4620,11,152991,39,5,None,75
50829380,[ABnB](https://www.airbnb.com/rooms/50829380),16.76827,-99.77927,2,4.83,6,4189,25,113501,31,1,None,76
50742916,[ABnB](https://www.airbnb.com/rooms/50742916),16.76704,-99.77887,2,-NA,0,4435,17,92094,21,2,Low,77
33291691,[ABnB](https://www.airbnb.com/rooms/33291691),16.76826,-99.77905,2,4.96,80,3162,77,1007941,280,2,Moderate,78
48773395,[ABnB](https://www.airbnb.com/rooms/48773395),16.76682,-99.78022,2,4.85,13,3162,33,269038,84,2,None,79
35670149,[ABnB](https://www.airbnb.com/rooms/35670149),16.76789,-99.78048,2,-Unknown,1,6366,45,1114264,164,7,None,80
46338706,[ABnB](https://www.airbnb.com/rooms/46338706),16.7673,-99.77862,2,4.95,19,3244,53,510591,160,2,Low,81
45668721,[ABnB](https://www.airbnb.com/rooms/45668721),16.76788,-99.78053,2,4.7,37,3285,59,564525,177,2,Low,82
38072380,[ABnB](https://www.airbnb.com/rooms/38072380),16.76703,-99.77869,2,4.94,83,2957,97,975716,355,3,Moderate,83
15602334,[ABnB](https://www.airbnb.com/rooms/15602334),16.76835,-99.77893,2,-NA,0,3183,0,3183,1,7,None,84
43900003,[ABnB](https://www.airbnb.com/rooms/43900003),16.76855,-99.77933,2,-NA,0,4291,25,409748,91,2,None,85
24915530,[ABnB](https://www.airbnb.com/rooms/24915530),16.76853,-99.7792,2,-NA,0,5791,41,464455,73,3,None,86
26038311,[ABnB](https://www.airbnb.com/rooms/26038311),16.7686,-99.7795,2,-NA,0,3675,0,0,0,5,None,87
44475806,[ABnB](https://www.airbnb.com/rooms/44475806),16.76644,-99.77998,2,4.95,39,3429,60,780694,219,3,Low,88
32384597,[ABnB](https://www.airbnb.com/rooms/32384597),16.76817,-99.77854,2,-NA,0,16407,0,0,0,7,None,89
48629110,[ABnB](https://www.airbnb.com/rooms/48629110),16.76822,-99.7783,2,5.0,6,3491,50,406183,127,3,Low,90
